age;job;marital;education;housing;loan;contact;month;day_of_week;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;y
39;9.0;2.0;5.0;0.0;0.0;1;4;1;4;5.8625;0;1;1.4;94.465;-41.8;1
51;7.0;1.0;3.0;2.0;0.0;1;3;1;3;5.8625;0;1;1.4;93.918;-42.7;1
28;0.0;2.0;3.0;2.0;0.0;0;6;3;3;5.8625;0;1;-1.8;92.893;-46.2;0
34;4.0;1.0;6.0;2.0;0.0;0;6;4;4;5.8625;0;1;-1.8;92.893;-46.2;0
31;9.0;2.0;3.0;2.0;2.0;0;1;3;1;5.8625;0;1;1.4;93.444;-36.1;1
31;0.0;1.0;6.0;2.0;0.0;0;1;2;5;5.8625;0;1;1.4;93.444;-36.1;0
31;0.0;2.0;6.0;2.0;0.0;1;4;4;2;5.8625;0;1;1.4;94.465;-41.8;0
38;6.0;2.0;6.0;0.0;0.0;1;6;2;2;5.8625;0;1;1.1;93.994;-36.4;0
33;10.0;1.0;2.0;0.0;0.0;1;4;0;6;5.8625;0;1;1.4;94.465;-41.8;0
32;9.0;2.0;6.0;0.0;0.0;0;1;3;12;5.8625;0;1;1.4;93.444;-36.1;0
54;9.0;1.0;5.0;2.0;0.0;0;0;1;1;5.8625;0;1;-1.8;93.075;-47.1;0
41;0.0;0.0;3.0;2.0;0.0;1;4;3;2;5.8625;0;1;1.4;94.465;-41.8;0
59;7.0;1.0;0.0;0.0;0.0;0;1;2;7;5.8625;0;1;1.4;93.444;-36.1;0
57;5.0;1.0;6.0;2.0;0.0;0;0;2;1;2.0;1;2;-1.8;93.075;-47.1;0
38;2.0;0.0;6.0;2.0;0.0;0;7;2;1;5.8625;0;1;-0.1;93.2;-42.0;0
46;0.0;1.0;6.0;2.0;0.0;1;6;3;1;5.8625;0;1;1.1;93.994;-36.4;0
37;10.0;2.0;6.0;2.0;2.0;0;7;3;1;5.8625;0;1;-0.1;93.2;-42.0;0
47;7.0;2.0;2.0;2.0;0.0;1;4;2;3;5.8625;0;1;1.4;94.465;-41.8;1
45;0.0;2.0;6.0;0.0;0.0;0;1;2;1;5.8625;0;1;1.4;93.444;-36.1;1
36;1.0;1.0;1.0;2.0;0.0;1;3;4;1;5.8625;0;1;1.4;93.918;-42.7;0
40;10.0;2.0;3.0;2.0;0.0;0;3;1;5;5.8625;0;1;1.4;93.918;-42.7;0
38;1.0;1.0;2.0;0.0;0.0;0;7;3;2;5.8625;1;0;-0.1;93.2;-42.0;0
44;1.0;1.0;3.0;0.0;0.0;1;4;3;2;5.8625;0;1;1.4;94.465;-41.8;0
25;6.0;1.0;6.0;2.0;0.0;1;6;0;2;5.8625;0;1;1.1;93.994;-36.4;0
30;1.0;2.0;1.0;2.0;0.0;1;3;3;5;5.8625;0;1;1.4;93.918;-42.7;0
43;4.0;1.0;5.0;0.0;0.0;0;7;3;2;5.8625;0;1;-0.1;93.2;-42.0;0
58;5.0;1.0;1.0;0.0;0.0;1;6;1;3;5.8625;0;1;1.1;93.994;-36.4;0
31;9.0;1.0;5.0;2.0;0.0;1;6;4;6;5.8625;0;1;1.1;93.994;-36.4;0
53;4.0;1.0;6.0;0.0;0.0;0;3;3;2;5.8625;0;1;1.4;93.918;-42.7;0
52;0.0;1.0;6.0;0.0;0.0;0;1;3;1;5.8625;0;1;1.4;93.444;-36.1;0
37;4.0;1.0;6.0;0.0;2.0;0;0;0;1;5.8625;1;0;-1.8;93.075;-47.1;0
58;0.0;1.0;3.0;2.0;0.0;0;3;3;1;5.8625;0;1;1.4;93.918;-42.7;0
37;7.0;1.0;3.0;2.0;2.0;0;6;2;3;5.8625;0;1;-1.8;92.893;-46.2;0
38;0.0;2.0;6.0;2.0;0.0;0;6;0;1;5.8625;0;1;-1.8;92.893;-46.2;0
33;7.0;2.0;2.0;2.0;0.0;0;0;2;2;5.8625;0;1;-1.8;93.075;-47.1;0
45;7.0;1.0;3.0;2.0;0.0;0;6;0;1;5.8625;0;1;-1.8;92.893;-46.2;0
44;2.0;1.0;5.0;0.0;0.0;1;6;1;1;5.8625;0;1;1.1;93.994;-36.4;0
38;1.0;1.0;1.0;2.0;0.0;1;3;2;2;5.8625;0;1;1.4;93.918;-42.7;0
34;1.0;1.0;2.0;0.0;0.0;1;4;3;1;5.8625;0;1;-1.7;94.055;-39.8;0
47;4.0;1.0;6.0;2.0;0.0;0;3;4;1;5.8625;0;1;-2.9;92.469;-33.6;0
59;0.0;1.0;6.0;2.0;2.0;0;3;4;1;5.8625;0;1;-2.9;92.469;-33.6;0
51;1.0;1.0;0.0;2.0;2.0;0;1;2;2;5.8625;0;1;1.4;93.444;-36.1;0
31;1.0;1.0;1.0;2.0;0.0;1;4;4;2;5.8625;0;1;1.4;94.465;-41.8;0
56;4.0;1.0;6.0;2.0;2.0;0;7;4;1;5.8625;1;0;-0.1;93.2;-42.0;0
39;0.0;1.0;6.0;0.0;0.0;1;4;1;2;5.8625;0;1;1.4;94.465;-41.8;0
41;2.0;1.0;6.0;2.0;0.0;0;7;3;1;5.8625;0;1;-0.1;93.2;-42.0;1
41;4.0;0.0;1.0;2.0;0.0;0;7;2;1;5.8625;0;1;-0.1;93.2;-42.0;0
53;7.0;1.0;3.0;0.0;0.0;1;6;2;4;5.8625;0;1;1.1;93.994;-36.4;0
35;1.0;1.0;3.0;0.0;2.0;0;3;1;4;5.8625;0;1;1.4;93.918;-42.7;0
58;5.0;1.0;2.0;0.0;2.0;0;6;4;1;5.8625;0;1;-1.8;92.893;-46.2;0
25;6.0;1.0;5.0;2.0;0.0;1;4;4;2;5.8625;0;1;1.4;94.465;-41.8;0
35;1.0;0.0;2.0;2.0;0.0;0;6;3;1;5.8625;1;0;-1.8;92.893;-46.2;0
28;7.0;2.0;3.0;0.0;0.0;0;3;4;1;5.8625;0;1;1.4;93.918;-42.7;0
55;1.0;1.0;5.0;2.0;2.0;0;6;0;3;5.8625;1;0;-1.8;92.893;-46.2;0
54;2.0;1.0;0.0;0.0;2.0;1;6;2;1;5.8625;0;1;1.1;93.994;-36.4;0
45;9.0;0.0;2.0;0.0;0.0;0;3;4;2;5.8625;0;1;1.4;93.918;-42.7;0
32;1.0;1.0;2.0;2.0;0.0;0;0;2;1;5.8625;1;0;-1.8;93.075;-47.1;0
50;0.0;1.0;2.0;2.0;0.0;0;1;2;3;5.8625;0;1;1.4;93.444;-36.1;0
75;5.0;1.0;0.0;0.0;0.0;0;0;3;1;5.8625;1;0;-1.8;93.075;-47.1;1
33;6.0;0.0;6.0;0.0;0.0;1;6;4;4;5.8625;0;1;1.1;93.994;-36.4;0
29;4.0;1.0;6.0;0.0;2.0;0;1;4;2;5.8625;0;1;1.4;93.444;-36.1;0
45;4.0;1.0;6.0;2.0;0.0;0;6;2;1;5.8625;0;1;-1.8;92.893;-46.2;0
38;0.0;0.0;6.0;0.0;0.0;0;0;1;1;5.8625;0;1;-1.8;93.075;-47.1;1
24;7.0;2.0;5.0;2.0;0.0;1;6;1;1;5.8625;0;1;1.1;93.994;-36.4;0
41;9.0;1.0;5.0;2.0;0.0;0;1;1;1;5.8625;0;1;1.4;93.444;-36.1;0
58;5.0;0.0;3.0;2.0;0.0;0;4;3;1;5.8625;0;1;-2.9;92.963;-40.8;1
34;0.0;1.0;6.0;0.0;2.0;1;6;4;2;5.8625;0;1;1.1;93.994;-36.4;0
34;0.0;1.0;6.0;0.0;0.0;0;7;1;2;5.8625;0;1;-1.1;94.767;-50.8;0
37;9.0;0.0;5.0;0.0;0.0;1;6;4;1;5.8625;0;1;1.1;93.994;-36.4;0
53;1.0;0.0;0.0;0.0;0.0;1;4;4;1;5.8625;0;1;1.4;94.465;-41.8;1
54;9.0;0.0;5.0;2.0;2.0;0;3;3;14;5.8625;0;1;1.4;93.918;-42.7;0
32;9.0;0.0;5.0;2.0;0.0;0;7;3;1;5.8625;0;1;-0.1;93.2;-42.0;0
42;0.0;1.0;3.0;2.0;0.0;0;3;0;6;5.8625;0;1;1.4;93.918;-42.7;0
28;9.0;2.0;5.0;2.0;0.0;0;1;2;2;3.0;1;2;-2.9;92.201;-31.4;1
33;7.0;2.0;3.0;2.0;0.0;1;6;0;1;5.8625;0;1;1.1;93.994;-36.4;0
41;1.0;1.0;2.0;2.0;0.0;0;0;1;2;5.8625;0;1;-1.8;93.075;-47.1;0
31;7.0;1.0;3.0;0.0;2.0;0;7;2;1;5.8625;0;1;-0.1;93.2;-42.0;0
40;9.0;1.0;2.0;0.0;2.0;1;6;2;4;5.8625;0;1;1.1;93.994;-36.4;0
53;0.0;1.0;2.0;0.0;2.0;0;7;4;1;5.8625;1;0;-3.4;92.649;-30.1;0
40;0.0;0.0;6.0;2.0;0.0;0;1;1;1;5.8625;0;1;1.4;93.444;-36.1;0
82;3.0;1.0;0.0;0.0;0.0;1;9;3;3;3.0;2;2;-1.1;94.199;-37.5;1
28;1.0;1.0;0.0;2.0;0.0;0;3;1;1;5.8625;0;1;1.4;93.918;-42.7;0
30;0.0;1.0;3.0;2.0;0.0;0;7;4;3;5.8625;0;1;-0.1;93.2;-42.0;0
31;10.0;2.0;6.0;2.0;0.0;0;3;3;1;6.0;3;2;-1.7;94.215;-40.3;1
32;9.0;2.0;6.0;2.0;0.0;0;1;4;1;5.8625;0;1;1.4;93.444;-36.1;0
54;1.0;1.0;0.0;2.0;0.0;0;1;3;1;5.8625;0;1;1.4;93.444;-36.1;0
31;1.0;1.0;2.0;0.0;0.0;0;3;4;1;5.8625;0;1;1.4;93.918;-42.7;0
50;7.0;1.0;6.0;2.0;0.0;0;1;2;2;5.8625;0;1;1.4;93.444;-36.1;0
47;9.0;2.0;6.0;0.0;0.0;0;3;3;2;5.8625;0;1;1.4;93.918;-42.7;0
31;0.0;2.0;3.0;2.0;2.0;0;6;4;1;5.8625;0;1;-1.8;92.893;-46.2;0
32;10.0;1.0;3.0;2.0;0.0;0;7;2;1;5.8625;0;1;-0.1;93.2;-42.0;0
46;0.0;2.0;3.0;2.0;0.0;0;7;1;2;5.8625;2;0;-1.1;94.767;-50.8;0
47;0.0;2.0;3.0;0.0;0.0;0;6;1;2;5.8625;0;1;-1.8;92.893;-46.2;0
32;0.0;2.0;3.0;0.0;0.0;0;7;1;2;5.8625;2;0;-1.1;94.767;-50.8;0
52;7.0;0.0;3.0;0.0;0.0;0;7;1;1;5.8625;0;1;-0.1;93.2;-42.0;0
45;0.0;1.0;3.0;2.0;0.0;0;8;0;3;6.0;1;2;-1.1;94.601;-49.5;1
32;0.0;1.0;6.0;2.0;0.0;0;6;0;2;5.8625;0;1;-1.8;92.893;-46.2;0
71;1.0;0.0;0.0;0.0;0.0;0;1;2;1;5.8625;0;1;-1.7;94.027;-38.3;0
49;7.0;1.0;3.0;2.0;0.0;1;6;0;2;5.8625;0;1;1.1;93.994;-36.4;0
46;0.0;1.0;3.0;2.0;2.0;1;4;4;10;5.8625;0;1;1.4;94.465;-41.8;0
46;1.0;1.0;5.0;0.0;0.0;0;7;0;1;5.8625;0;1;-1.1;94.767;-50.8;0
38;0.0;1.0;6.0;2.0;0.0;0;1;3;6;5.8625;0;1;1.4;93.444;-36.1;0
57;7.0;1.0;5.0;0.0;0.0;0;1;1;2;5.8625;0;1;1.4;93.444;-36.1;0
41;7.0;2.0;3.0;2.0;0.0;0;6;1;2;5.8625;1;0;-1.8;92.893;-46.2;0
44;9.0;1.0;5.0;0.0;0.0;1;6;0;3;5.8625;0;1;1.1;93.994;-36.4;0
47;9.0;1.0;6.0;2.0;0.0;0;1;4;7;5.8625;0;1;1.4;93.444;-36.1;0
40;1.0;1.0;2.0;2.0;2.0;1;6;4;2;5.8625;0;1;1.1;93.994;-36.4;0
57;5.0;2.0;5.0;2.0;0.0;1;6;1;1;5.8625;0;1;1.1;93.994;-36.4;0
27;0.0;2.0;6.0;0.0;0.0;0;5;3;1;3.0;1;2;-1.8;93.369;-34.8;1
52;1.0;1.0;2.0;0.0;0.0;0;1;0;1;5.8625;0;1;1.4;93.444;-36.1;1
34;4.0;1.0;6.0;2.0;2.0;1;4;4;1;5.8625;0;1;-2.9;92.963;-40.8;0
42;2.0;1.0;6.0;2.0;0.0;1;6;3;1;5.8625;0;1;1.1;93.994;-36.4;0
51;9.0;1.0;6.0;2.0;0.0;1;4;0;3;5.8625;0;1;1.4;94.465;-41.8;0
45;4.0;1.0;0.0;2.0;0.0;1;6;0;1;5.8625;0;1;1.1;93.994;-36.4;0
56;5.0;1.0;3.0;0.0;0.0;0;6;1;1;5.8625;0;1;-1.8;92.893;-46.2;0
41;4.0;1.0;6.0;2.0;0.0;0;6;2;1;5.8625;0;1;-1.8;92.893;-46.2;0
44;0.0;1.0;3.0;2.0;0.0;0;1;0;1;5.8625;0;1;1.4;93.444;-36.1;0
50;1.0;1.0;1.0;2.0;0.0;0;6;1;3;3.0;1;2;-1.8;92.893;-46.2;1
54;6.0;1.0;3.0;0.0;0.0;0;1;3;3;5.8625;0;1;1.4;93.444;-36.1;0
51;1.0;1.0;1.0;0.0;0.0;0;1;0;1;5.8625;0;1;1.4;93.444;-36.1;0
30;1.0;2.0;2.0;0.0;0.0;0;7;4;1;5.8625;0;1;-0.1;93.2;-42.0;0
42;3.0;1.0;0.0;2.0;0.0;1;4;0;8;5.8625;0;1;1.4;94.465;-41.8;0
41;9.0;1.0;5.0;2.0;0.0;1;4;1;11;5.8625;0;1;1.4;94.465;-41.8;0
47;7.0;2.0;2.0;0.0;0.0;0;7;3;2;5.8625;0;1;-0.1;93.2;-42.0;0
35;1.0;1.0;1.0;2.0;0.0;0;0;0;1;5.8625;1;0;-1.8;93.075;-47.1;0
58;1.0;1.0;2.0;0.0;0.0;0;7;3;1;5.8625;1;0;-0.1;93.2;-42.0;0
50;1.0;0.0;3.0;2.0;2.0;0;3;1;2;5.8625;0;1;1.4;93.918;-42.7;1
41;9.0;1.0;5.0;0.0;0.0;1;6;3;1;5.8625;0;1;1.1;93.994;-36.4;0
38;9.0;1.0;6.0;2.0;0.0;0;6;4;1;5.8625;0;1;-1.8;92.893;-46.2;0
32;8.0;2.0;6.0;0.0;0.0;0;7;2;2;5.8625;0;1;-0.1;93.2;-42.0;0
21;8.0;2.0;3.0;0.0;0.0;0;1;3;1;5.8625;1;0;-2.9;92.201;-31.4;0
46;0.0;0.0;2.0;0.0;0.0;1;6;4;1;5.8625;0;1;1.1;93.994;-36.4;0
42;6.0;1.0;6.0;2.0;0.0;0;7;0;3;5.8625;0;1;-0.1;93.2;-42.0;0
55;7.0;1.0;2.0;0.0;0.0;0;1;4;13;5.8625;0;1;1.4;93.444;-36.1;0
29;0.0;2.0;3.0;2.0;0.0;1;7;1;1;6.0;1;2;-1.1;94.767;-50.8;0
30;1.0;2.0;1.0;2.0;0.0;1;4;4;1;5.8625;0;1;1.4;94.465;-41.8;0
53;4.0;1.0;0.0;2.0;0.0;0;7;4;1;5.8625;0;1;-0.1;93.2;-42.0;0
35;4.0;1.0;6.0;2.0;0.0;0;7;4;2;5.8625;0;1;-0.1;93.2;-42.0;0
46;7.0;1.0;5.0;2.0;0.0;1;6;3;4;5.8625;0;1;1.1;93.994;-36.4;0
30;1.0;1.0;6.0;0.0;0.0;1;6;4;2;5.8625;0;1;1.1;93.994;-36.4;0
43;2.0;1.0;6.0;2.0;0.0;0;3;3;1;5.8625;0;1;1.4;93.918;-42.7;0
42;7.0;1.0;3.0;2.0;0.0;0;3;1;4;5.8625;0;1;1.4;93.918;-42.7;0
32;9.0;1.0;5.0;0.0;0.0;0;3;3;1;5.8625;0;1;1.4;93.918;-42.7;0
41;1.0;0.0;2.0;2.0;0.0;0;6;0;1;5.8625;1;0;-1.8;92.893;-46.2;0
28;0.0;1.0;6.0;0.0;0.0;0;6;3;3;5.8625;1;0;-1.8;92.893;-46.2;0
24;7.0;2.0;6.0;0.0;0.0;0;3;2;6;5.8625;0;1;1.4;93.918;-42.7;0
43;4.0;1.0;6.0;2.0;2.0;0;0;0;1;5.8625;0;1;-1.8;93.075;-47.1;0
30;0.0;2.0;6.0;2.0;0.0;0;1;1;1;5.8625;0;1;1.4;93.444;-36.1;0
55;1.0;1.0;2.0;0.0;0.0;0;7;3;2;5.8625;0;1;-0.1;93.2;-42.0;0
51;5.0;1.0;2.0;0.0;0.0;0;3;0;1;5.8625;0;1;1.4;93.918;-42.7;0
22;8.0;2.0;3.0;0.0;2.0;0;3;0;2;5.8625;0;1;1.4;93.918;-42.7;0
32;2.0;2.0;6.0;0.0;2.0;0;7;2;1;5.8625;0;1;-0.1;93.2;-42.0;0
43;0.0;1.0;5.0;0.0;0.0;0;3;2;3;5.8625;0;1;1.4;93.918;-42.7;0
39;4.0;1.0;1.0;0.0;0.0;1;4;1;5;5.8625;0;1;1.4;94.465;-41.8;0
52;1.0;0.0;6.0;0.0;0.0;0;3;3;8;5.8625;0;1;1.4;93.918;-42.7;0
38;9.0;2.0;5.0;2.0;0.0;0;6;1;3;5.8625;1;0;-1.8;92.893;-46.2;0
59;5.0;1.0;0.0;0.0;0.0;1;0;3;4;5.8625;0;1;-1.8;93.075;-47.1;0
31;1.0;1.0;0.0;2.0;0.0;1;6;4;2;5.8625;0;1;1.1;93.994;-36.4;0
76;5.0;2.0;0.0;0.0;0.0;0;7;1;4;6.0;1;2;-3.4;92.649;-30.1;1
44;0.0;2.0;2.0;2.0;0.0;1;4;1;3;5.8625;0;1;1.4;94.465;-41.8;0
30;1.0;1.0;6.0;0.0;0.0;1;6;0;2;5.8625;0;1;1.1;93.994;-36.4;0
32;7.0;1.0;3.0;0.0;0.0;1;4;0;1;5.8625;0;1;1.4;94.465;-41.8;0
41;10.0;1.0;6.0;0.0;0.0;1;4;0;3;5.8625;0;1;1.4;94.465;-41.8;0
33;0.0;2.0;6.0;2.0;0.0;0;1;2;4;5.8625;0;1;1.4;93.444;-36.1;1
59;5.0;1.0;0.0;2.0;0.0;0;1;0;1;5.8625;0;1;1.4;93.444;-36.1;0
28;1.0;1.0;2.0;2.0;0.0;0;3;1;3;5.8625;0;1;1.4;93.918;-42.7;0
33;1.0;2.0;1.0;2.0;0.0;0;6;0;2;5.8625;0;1;-1.8;92.893;-46.2;0
53;7.0;1.0;3.0;2.0;0.0;0;1;2;1;5.8625;0;1;1.4;93.444;-36.1;0
41;7.0;1.0;3.0;0.0;0.0;0;5;4;6;5.8625;0;1;-1.8;92.843;-50.0;1
55;0.0;1.0;0.0;0.0;2.0;0;3;2;1;5.8625;0;1;1.4;93.918;-42.7;0
45;1.0;1.0;2.0;0.0;0.0;1;6;3;1;5.8625;0;1;1.1;93.994;-36.4;0
35;9.0;1.0;5.0;0.0;0.0;0;3;2;4;5.8625;0;1;1.4;93.918;-42.7;0
31;7.0;1.0;3.0;0.0;0.0;0;3;1;3;5.8625;0;1;1.4;93.918;-42.7;0
53;4.0;1.0;6.0;0.0;0.0;0;1;1;4;5.8625;0;1;1.4;93.444;-36.1;0
35;9.0;2.0;5.0;2.0;0.0;0;6;2;1;5.8625;0;1;-1.8;92.893;-46.2;0
45;1.0;0.0;1.0;2.0;0.0;0;6;2;1;5.8625;0;1;-1.8;92.893;-46.2;0
34;3.0;2.0;6.0;0.0;0.0;1;4;2;2;5.8625;0;1;1.4;94.465;-41.8;0
42;0.0;1.0;2.0;0.0;0.0;1;0;1;3;5.8625;1;0;-1.8;93.075;-47.1;0
36;6.0;1.0;2.0;2.0;2.0;0;7;2;3;5.8625;0;1;-0.1;93.2;-42.0;0
44;0.0;1.0;3.0;0.0;0.0;1;6;4;3;5.8625;0;1;1.1;93.994;-36.4;0
50;0.0;0.0;6.0;2.0;0.0;0;1;3;2;5.8625;0;1;1.4;93.444;-36.1;0
36;0.0;1.0;6.0;2.0;0.0;0;9;0;1;5.8625;0;1;-3.4;92.379;-29.8;0
27;9.0;1.0;5.0;0.0;0.0;0;3;2;9;5.8625;0;1;1.4;93.918;-42.7;0
40;4.0;1.0;6.0;0.0;0.0;1;6;0;3;5.8625;0;1;1.1;93.994;-36.4;0
