age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
46;0;0;6;0;2;0;1;3;1;59;4;NaN;0;1;1.4;93.918;-42.7;4.962;5228.1;0
45;2;1;6;NaN;2;2;0;1;1;38;2;NaN;0;1;1.4;93.444;-36.1;4.965;5228.1;0
50;1;1;0;0;0;2;0;3;3;849;1;NaN;0;1;1.4;93.918;-42.7;4.961;5228.1;1
55;7;1;1;NaN;2;0;0;3;3;326;6;NaN;0;1;1.4;93.918;-42.7;4.962;5228.1;0
39;9;0;3;0;0;0;0;5;1;222;1;12;2;2;-1.8;93.369;-34.8;0.639;5008.7;1
29;9;2;6;0;2;2;0;1;4;626;3;NaN;0;1;1.4;93.444;-36.1;4.967;5228.1;0
40;4;1;3;0;0;2;0;1;4;119;1;NaN;0;1;1.4;93.444;-36.1;4.965;5228.1;0
44;9;1;5;NaN;2;0;1;6;0;388;7;NaN;0;1;1.1;93.994;-36.4;4.864;5191;0
38;9;1;5;0;2;0;0;1;1;479;1;NaN;0;1;1.4;93.444;-36.1;4.965;5228.1;1
36;9;0;5;0;0;0;1;6;4;446;1;NaN;0;1;1.1;93.994;-36.4;4.856;5191;0
28;1;1;1;NaN;0;0;0;6;1;68;2;NaN;1;0;-1.8;92.893;-46.2;1.299;5099.1;0
47;0;2;NaN;NaN;0;0;1;6;2;127;1;NaN;0;1;1.1;93.994;-36.4;4.86;5191;0
34;0;1;6;0;0;0;0;1;3;109;1;NaN;0;1;1.4;93.444;-36.1;4.963;5228.1;0
38;9;1;6;0;2;2;0;5;3;113;1;NaN;1;0;-1.8;92.843;-50;1.687;5099.1;0
33;7;1;3;NaN;2;0;1;4;1;393;3;NaN;0;1;1.4;94.465;-41.8;4.865;5228.1;0
51;9;2;6;0;0;0;0;4;0;151;2;NaN;0;1;-2.9;92.963;-40.8;1.268;5076.2;0
30;1;2;0;NaN;2;0;1;4;3;256;1;NaN;0;1;1.4;94.465;-41.8;4.864;5228.1;0
48;9;1;6;0;0;0;0;1;2;42;7;NaN;0;1;1.4;93.444;-36.1;4.962;5228.1;0
28;1;2;2;0;2;0;1;4;4;525;1;NaN;0;1;1.4;94.465;-41.8;4.864;5228.1;0
36;1;1;1;0;2;0;1;6;4;57;1;NaN;0;1;1.1;93.994;-36.4;4.859;5191;0
46;4;0;3;0;0;0;0;7;4;499;1;NaN;0;1;-0.1;93.2;-42;4.12;5195.8;0
31;9;2;NaN;0;2;0;0;6;4;84;1;NaN;1;0;-1.8;92.893;-46.2;1.334;5099.1;0
20;8;2;NaN;0;0;0;0;8;1;137;3;NaN;3;0;-1.1;94.601;-49.5;0.977;4963.6;0
35;7;1;3;NaN;2;0;0;6;3;31;1;NaN;0;1;-1.8;92.893;-46.2;1.344;5099.1;0
38;1;1;2;NaN;NaN;NaN;1;4;0;430;1;NaN;0;1;1.4;94.465;-41.8;4.967;5228.1;0
76;5;1;6;0;0;0;0;1;2;126;1;NaN;1;0;-1.7;94.027;-38.3;0.899;4991.6;0
45;2;0;5;0;2;0;0;3;3;211;3;NaN;0;1;1.4;93.918;-42.7;4.961;5228.1;0
32;3;1;0;0;2;2;0;6;0;340;1;NaN;0;1;-1.8;92.893;-46.2;1.313;5099.1;0
39;4;2;6;NaN;0;0;0;6;2;412;2;NaN;0;1;-1.8;92.893;-46.2;1.327;5099.1;0
32;0;1;6;0;0;0;1;7;2;132;1;NaN;0;1;-0.1;93.2;-42;4.592;5195.8;0
29;0;2;2;0;0;0;0;6;1;79;2;NaN;0;1;-1.8;92.893;-46.2;1.299;5099.1;0
44;7;1;5;0;0;0;0;1;1;341;2;NaN;0;1;1.4;93.444;-36.1;4.97;5228.1;0
32;7;1;3;0;0;2;0;3;0;157;3;NaN;0;1;1.4;93.918;-42.7;4.957;5228.1;0
56;5;1;6;0;2;0;0;4;4;252;1;NaN;2;0;-2.9;92.963;-40.8;1.26;5076.2;0
33;1;1;2;0;2;0;0;6;2;263;1;NaN;0;1;-1.8;92.893;-46.2;1.327;5099.1;0
39;4;1;3;0;0;0;0;1;0;215;3;NaN;0;1;1.4;93.444;-36.1;4.966;5228.1;0
24;9;1;6;0;2;2;0;9;3;89;2;3;1;2;-3.4;92.379;-29.8;0.77;5017.5;1
33;0;2;6;0;2;0;0;6;2;143;1;NaN;0;1;-1.8;92.893;-46.2;1.327;5099.1;0
58;2;0;6;0;0;0;1;4;2;40;2;NaN;0;1;1.4;94.465;-41.8;4.866;5228.1;0
29;0;2;6;0;2;0;1;4;0;10;27;NaN;0;1;1.4;94.465;-41.8;4.959;5228.1;0
31;0;1;6;0;2;0;0;1;2;113;1;NaN;0;1;1.4;93.444;-36.1;4.964;5228.1;0
27;0;1;6;0;0;0;1;6;4;191;5;NaN;0;1;1.1;93.994;-36.4;4.857;5191;0
60;0;0;5;0;2;0;0;9;4;481;1;NaN;1;0;-1.1;94.199;-37.5;0.886;4963.6;1
55;2;1;5;0;2;2;0;8;1;233;1;NaN;2;0;-3.4;92.431;-26.9;0.739;5017.5;0
37;1;1;2;0;2;0;0;6;4;204;2;NaN;0;1;-1.8;92.893;-46.2;1.334;5099.1;0
52;0;1;NaN;0;2;0;1;0;4;403;1;6;1;2;-1.8;93.749;-34.6;0.654;5008.7;1
46;7;1;3;0;2;0;0;0;1;180;1;NaN;0;1;-1.8;93.075;-47.1;1.405;5099.1;0
42;1;0;1;0;2;0;0;6;4;16;2;NaN;0;1;-1.8;92.893;-46.2;1.281;5099.1;0
35;0;2;6;0;2;0;0;3;1;447;3;NaN;0;1;1.4;93.918;-42.7;4.96;5228.1;0
49;9;0;NaN;0;2;2;0;8;2;81;1;NaN;0;1;-3.4;92.431;-26.9;0.754;5017.5;0
29;7;0;3;0;0;2;1;4;1;361;3;NaN;0;1;1.4;94.465;-41.8;4.865;5228.1;0
32;1;1;2;0;0;0;0;7;1;1091;2;5;1;2;-0.1;93.2;-42;4.191;5195.8;1
37;6;1;6;0;0;0;0;6;0;395;1;NaN;1;0;-1.8;92.893;-46.2;1.313;5099.1;0
39;9;2;5;NaN;0;0;1;4;1;432;4;NaN;0;1;1.4;94.465;-41.8;4.865;5228.1;1
51;7;1;3;NaN;2;0;1;3;1;596;3;NaN;0;1;1.4;93.918;-42.7;4.962;5228.1;1
28;0;2;3;0;2;0;0;6;3;59;3;NaN;0;1;-1.8;92.893;-46.2;1.291;5099.1;0
34;4;1;6;0;2;0;0;6;4;77;4;NaN;0;1;-1.8;92.893;-46.2;1.281;5099.1;0
31;9;2;3;0;2;2;0;1;3;768;1;NaN;0;1;1.4;93.444;-36.1;4.966;5228.1;1
31;0;1;6;0;2;0;0;1;2;96;5;NaN;0;1;1.4;93.444;-36.1;4.962;5228.1;0
31;0;2;6;0;2;0;1;4;4;357;2;NaN;0;1;1.4;94.465;-41.8;4.864;5228.1;0
38;6;2;6;0;0;0;1;6;2;459;2;NaN;0;1;1.1;93.994;-36.4;4.855;5191;0
33;10;1;2;0;0;0;1;4;0;11;6;NaN;0;1;1.4;94.465;-41.8;4.959;5228.1;0
32;9;2;6;0;0;0;0;1;3;264;12;NaN;0;1;1.4;93.444;-36.1;4.966;5228.1;0
54;9;1;5;NaN;2;0;0;0;1;698;1;NaN;0;1;-1.8;93.075;-47.1;1.405;5099.1;0
41;0;0;3;0;2;0;1;4;3;204;2;NaN;0;1;1.4;94.465;-41.8;4.961;5228.1;0
59;7;1;0;NaN;0;0;0;1;2;93;7;NaN;0;1;1.4;93.444;-36.1;4.963;5228.1;0
57;5;1;6;0;2;0;0;0;2;374;1;2;1;2;-1.8;93.075;-47.1;1.365;5099.1;0
38;2;0;6;0;2;0;0;7;2;252;1;NaN;0;1;-0.1;93.2;-42;4.076;5195.8;0
46;0;1;6;0;2;0;1;6;3;158;1;NaN;0;1;1.1;93.994;-36.4;4.857;5191;0
37;10;2;6;0;2;2;0;7;3;95;1;NaN;0;1;-0.1;93.2;-42;4.153;5195.8;0
47;7;2;2;0;NaN;NaN;1;4;2;835;3;NaN;0;1;1.4;94.465;-41.8;4.961;5228.1;1
45;0;2;6;0;0;0;0;1;2;505;1;NaN;0;1;1.4;93.444;-36.1;4.964;5228.1;1
36;1;1;1;0;2;0;1;3;4;16;1;NaN;0;1;1.4;93.918;-42.7;4.962;5228.1;0
40;10;2;3;0;2;0;0;3;1;300;5;NaN;0;1;1.4;93.918;-42.7;4.96;5228.1;0
38;1;1;2;0;0;0;0;7;3;180;2;NaN;1;0;-0.1;93.2;-42;4.153;5195.8;0
44;1;1;3;NaN;0;0;1;4;3;390;2;NaN;0;1;1.4;94.465;-41.8;4.961;5228.1;0
25;6;1;6;0;2;0;1;6;0;274;2;NaN;0;1;1.1;93.994;-36.4;4.857;5191;0
30;1;2;1;0;2;0;1;3;3;135;5;NaN;0;1;1.4;93.918;-42.7;4.961;5228.1;0
43;4;1;5;0;0;0;0;7;3;257;2;NaN;0;1;-0.1;93.2;-42;4.153;5195.8;0
58;5;1;1;NaN;0;0;1;6;1;268;3;NaN;0;1;1.1;93.994;-36.4;4.857;5191;0
31;9;1;5;0;2;0;1;6;4;157;6;NaN;0;1;1.1;93.994;-36.4;4.856;5191;0
53;4;1;6;0;0;0;0;3;3;477;2;NaN;0;1;1.4;93.918;-42.7;4.961;5228.1;0
52;0;1;NaN;0;0;0;0;1;3;91;1;NaN;0;1;1.4;93.444;-36.1;4.968;5228.1;0
37;4;1;6;NaN;0;2;0;0;0;76;1;NaN;1;0;-1.8;93.075;-47.1;1.405;5099.1;0
58;0;1;3;NaN;2;0;0;3;3;103;1;NaN;0;1;1.4;93.918;-42.7;4.961;5228.1;0
37;7;1;3;0;2;2;0;6;2;436;3;NaN;0;1;-1.8;92.893;-46.2;1.266;5099.1;0
38;0;2;NaN;0;2;0;0;6;0;191;1;NaN;0;1;-1.8;92.893;-46.2;1.313;5099.1;0
33;7;2;2;0;2;0;0;0;2;483;2;NaN;0;1;-1.8;93.075;-47.1;1.41;5099.1;0
45;7;1;3;NaN;2;0;0;6;0;250;1;NaN;0;1;-1.8;92.893;-46.2;1.25;5099.1;0
44;2;1;5;0;0;0;1;6;1;259;1;NaN;0;1;1.1;93.994;-36.4;4.858;5191;0
38;1;1;1;0;2;0;1;3;2;389;2;NaN;0;1;1.4;93.918;-42.7;4.966;5228.1;0
34;1;1;2;0;0;0;1;4;3;7;1;NaN;0;1;-1.7;94.055;-39.8;0.702;4991.6;0
47;4;1;6;0;2;0;0;3;4;123;1;NaN;0;1;-2.9;92.469;-33.6;1.029;5076.2;0
59;0;1;6;0;2;2;0;3;4;92;1;NaN;0;1;-2.9;92.469;-33.6;1.085;5076.2;0
51;1;1;0;NaN;2;2;0;1;2;297;2;NaN;0;1;1.4;93.444;-36.1;4.964;5228.1;0
31;1;1;1;0;2;0;1;4;4;406;2;NaN;0;1;1.4;94.465;-41.8;4.864;5228.1;0
56;4;1;6;0;2;2;0;7;4;104;1;NaN;1;0;-0.1;93.2;-42;4.12;5195.8;0
39;0;1;6;0;0;0;1;4;1;135;2;NaN;0;1;1.4;94.465;-41.8;4.961;5228.1;0
41;2;1;6;0;2;0;0;7;3;854;1;NaN;0;1;-0.1;93.2;-42;4.153;5195.8;1
41;4;0;1;0;2;0;0;7;2;147;1;NaN;0;1;-0.1;93.2;-42;4.076;5195.8;0
53;7;1;3;NaN;0;0;1;6;2;203;4;NaN;0;1;1.1;93.994;-36.4;4.86;5191;0
35;1;1;3;0;0;2;0;3;1;149;4;NaN;0;1;1.4;93.918;-42.7;4.962;5228.1;0
58;5;1;2;0;0;2;0;6;4;144;1;NaN;0;1;-1.8;92.893;-46.2;1.334;5099.1;0
25;6;1;5;0;2;0;1;4;4;394;2;NaN;0;1;1.4;94.465;-41.8;4.959;5228.1;0
35;1;0;2;0;2;0;0;6;3;523;1;NaN;1;0;-1.8;92.893;-46.2;1.344;5099.1;0
28;7;2;3;0;0;0;0;3;4;73;1;NaN;0;1;1.4;93.918;-42.7;4.963;5228.1;0
55;1;1;5;0;2;2;0;6;0;197;3;NaN;1;0;-1.8;92.893;-46.2;1.25;5099.1;0
54;2;1;0;NaN;0;2;1;6;2;108;1;NaN;0;1;1.1;93.994;-36.4;4.855;5191;0
45;9;0;2;NaN;0;0;0;3;4;80;2;NaN;0;1;1.4;93.918;-42.7;4.962;5228.1;0
32;1;1;2;0;2;0;0;0;2;114;1;NaN;1;0;-1.8;93.075;-47.1;1.41;5099.1;0
50;0;1;2;NaN;2;0;0;1;2;122;3;NaN;0;1;1.4;93.444;-36.1;4.963;5228.1;0
75;5;1;0;0;0;0;0;0;3;109;1;NaN;1;0;-1.8;93.075;-47.1;1.405;5099.1;1
33;6;0;NaN;0;0;0;1;6;4;1161;4;NaN;0;1;1.1;93.994;-36.4;4.858;5191;0
29;4;1;6;0;0;2;0;1;4;181;2;NaN;0;1;1.4;93.444;-36.1;4.967;5228.1;0
45;4;1;6;0;2;0;0;6;2;239;1;NaN;0;1;-1.8;92.893;-46.2;1.327;5099.1;0
38;0;0;6;0;0;0;0;0;1;360;1;NaN;0;1;-1.8;93.075;-47.1;1.392;5099.1;1
24;7;2;5;0;2;0;1;6;1;314;1;NaN;0;1;1.1;93.994;-36.4;4.858;5191;0
41;9;1;5;0;2;0;0;1;1;984;1;NaN;0;1;1.4;93.444;-36.1;4.963;5228.1;0
58;5;0;3;0;2;0;0;4;3;663;1;NaN;0;1;-2.9;92.963;-40.8;1.262;5076.2;1
34;0;1;6;0;0;2;1;6;4;157;2;NaN;0;1;1.1;93.994;-36.4;4.857;5191;0
34;0;1;6;0;0;0;0;7;1;141;2;NaN;0;1;-1.1;94.767;-50.8;1.05;4963.6;0
37;9;0;5;0;0;0;1;6;4;374;1;NaN;0;1;1.1;93.994;-36.4;4.856;5191;0
53;1;0;0;0;0;0;1;4;4;706;1;NaN;0;1;1.4;94.465;-41.8;4.959;5228.1;1
54;9;0;5;0;2;2;0;3;3;797;14;NaN;0;1;1.4;93.918;-42.7;4.961;5228.1;0
32;9;0;5;0;2;0;0;7;3;250;1;NaN;0;1;-0.1;93.2;-42;4.153;5195.8;0
42;0;1;3;0;2;0;0;3;0;311;6;NaN;0;1;1.4;93.918;-42.7;4.962;5228.1;0
28;9;2;5;0;2;0;0;1;2;63;2;3;1;2;-2.9;92.201;-31.4;0.851;5076.2;1
33;7;2;3;0;2;0;1;6;0;111;1;NaN;0;1;1.1;93.994;-36.4;4.864;5191;0
41;1;1;2;0;2;0;0;0;1;148;2;NaN;0;1;-1.8;93.075;-47.1;1.405;5099.1;0
31;7;1;3;0;0;2;0;7;2;49;1;NaN;0;1;-0.1;93.2;-42;4.076;5195.8;0
40;9;1;2;NaN;0;2;1;6;2;171;4;NaN;0;1;1.1;93.994;-36.4;4.86;5191;0
53;NaN;1;2;0;0;2;0;7;4;242;1;NaN;1;0;-3.4;92.649;-30.1;0.716;5017.5;0
40;0;0;6;0;2;0;0;1;1;257;1;NaN;0;1;1.4;93.444;-36.1;4.965;5228.1;0
82;3;1;0;0;0;0;1;9;3;279;3;3;2;2;-1.1;94.199;-37.5;0.877;4963.6;1
28;1;1;0;0;2;0;0;3;1;113;1;NaN;0;1;1.4;93.918;-42.7;4.96;5228.1;0
30;0;1;3;NaN;2;0;0;7;4;246;3;NaN;0;1;-0.1;93.2;-42;4.12;5195.8;0
31;10;2;6;0;2;0;0;3;3;309;1;6;3;2;-1.7;94.215;-40.3;0.835;4991.6;1
32;9;2;6;0;2;0;0;1;4;168;1;NaN;0;1;1.4;93.444;-36.1;4.965;5228.1;0
54;1;1;0;0;2;0;0;1;3;153;1;NaN;0;1;1.4;93.444;-36.1;4.963;5228.1;0
31;1;1;2;0;0;0;0;3;4;152;1;NaN;0;1;1.4;93.918;-42.7;4.963;5228.1;0
50;7;1;NaN;0;2;0;0;1;2;90;2;NaN;0;1;1.4;93.444;-36.1;4.968;5228.1;0
47;9;2;NaN;0;0;0;0;3;3;117;2;NaN;0;1;1.4;93.918;-42.7;4.961;5228.1;0
31;0;2;3;0;2;2;0;6;4;149;1;NaN;0;1;-1.8;92.893;-46.2;1.281;5099.1;0
32;10;1;3;0;2;0;0;7;2;640;1;NaN;0;1;-0.1;93.2;-42;4.076;5195.8;0
46;0;2;3;0;2;0;0;7;1;199;2;NaN;2;0;-1.1;94.767;-50.8;1.048;4963.6;0
47;0;2;3;0;0;0;0;6;1;1114;2;NaN;0;1;-1.8;92.893;-46.2;1.299;5099.1;0
32;0;2;3;0;0;0;0;7;1;74;2;NaN;2;0;-1.1;94.767;-50.8;1.048;4963.6;0
52;7;0;3;NaN;0;0;0;7;1;190;1;NaN;0;1;-0.1;93.2;-42;4.191;5195.8;0
45;0;1;3;0;2;0;0;8;0;738;3;6;1;2;-1.1;94.601;-49.5;1.029;4963.6;1
32;0;1;6;0;2;0;0;6;0;374;2;NaN;0;1;-1.8;92.893;-46.2;1.313;5099.1;0
71;1;0;0;NaN;0;0;0;1;2;224;1;NaN;0;1;-1.7;94.027;-38.3;0.904;4991.6;0
49;7;1;3;0;2;0;1;6;0;344;2;NaN;0;1;1.1;93.994;-36.4;4.855;5191;0
46;0;1;3;0;2;2;1;4;4;148;10;NaN;0;1;1.4;94.465;-41.8;4.864;5228.1;0
46;1;1;5;0;0;0;0;7;0;383;1;NaN;0;1;-1.1;94.767;-50.8;1.028;4963.6;0
38;0;1;6;0;2;0;0;1;3;35;6;NaN;0;1;1.4;93.444;-36.1;4.965;5228.1;0
57;7;1;5;NaN;0;0;0;1;1;153;2;NaN;0;1;1.4;93.444;-36.1;4.965;5228.1;0
41;7;2;3;NaN;NaN;NaN;0;6;1;772;2;NaN;1;0;-1.8;92.893;-46.2;1.299;5099.1;0
44;9;1;5;0;0;0;1;6;0;124;3;NaN;0;1;1.1;93.994;-36.4;4.864;5191;0
47;9;1;6;0;2;0;0;1;4;345;7;NaN;0;1;1.4;93.444;-36.1;4.964;5228.1;0
40;1;1;2;0;2;2;1;6;4;951;2;NaN;0;1;1.1;93.994;-36.4;4.858;5191;0
57;5;2;5;0;2;0;1;6;1;188;1;NaN;0;1;1.1;93.994;-36.4;4.857;5191;0
27;0;2;NaN;0;0;0;0;5;3;128;1;3;1;2;-1.8;93.369;-34.8;0.637;5008.7;1
52;1;1;2;0;0;0;0;1;0;809;1;NaN;0;1;1.4;93.444;-36.1;4.966;5228.1;1
34;4;1;6;0;2;2;1;4;4;192;1;NaN;0;1;-2.9;92.963;-40.8;1.26;5076.2;0
42;2;1;6;0;2;0;1;6;3;154;1;NaN;0;1;1.1;93.994;-36.4;4.857;5191;0
51;9;1;NaN;0;2;0;1;4;0;17;3;NaN;0;1;1.4;94.465;-41.8;4.959;5228.1;0
45;4;1;0;NaN;2;0;1;6;0;100;1;NaN;0;1;1.1;93.994;-36.4;4.855;5191;0
56;5;1;3;0;0;0;0;6;1;317;1;NaN;0;1;-1.8;92.893;-46.2;1.244;5099.1;0
41;4;1;6;0;2;0;0;6;2;93;1;NaN;0;1;-1.8;92.893;-46.2;1.327;5099.1;0
44;0;1;3;0;2;0;0;1;0;111;1;NaN;0;1;1.4;93.444;-36.1;4.964;5228.1;0
50;1;1;1;0;2;0;0;6;1;293;3;3;1;2;-1.8;92.893;-46.2;1.354;5099.1;1
54;6;1;3;0;0;0;0;1;3;119;3;NaN;0;1;1.4;93.444;-36.1;4.963;5228.1;0
51;1;1;1;0;0;0;0;1;0;393;1;NaN;0;1;1.4;93.444;-36.1;4.964;5228.1;0
30;1;2;2;0;0;0;0;7;4;30;1;NaN;0;1;-0.1;93.2;-42;4.12;5195.8;0
42;3;1;0;NaN;2;0;1;4;0;38;8;NaN;0;1;1.4;94.465;-41.8;4.959;5228.1;0
41;9;1;5;NaN;2;0;1;4;1;442;11;NaN;0;1;1.4;94.465;-41.8;4.865;5228.1;0
47;7;2;2;0;0;0;0;7;3;187;2;NaN;0;1;-0.1;93.2;-42;4.153;5195.8;0
35;1;1;1;0;2;0;0;0;0;113;1;NaN;1;0;-1.8;93.075;-47.1;1.405;5099.1;0
58;1;1;2;0;0;0;0;7;3;64;1;NaN;1;0;-0.1;93.2;-42;4.153;5195.8;0
50;1;0;3;0;2;2;0;3;1;629;2;NaN;0;1;1.4;93.918;-42.7;4.96;5228.1;1
41;9;1;5;0;0;0;1;6;3;92;1;NaN;0;1;1.1;93.994;-36.4;4.856;5191;0
38;9;1;6;0;2;0;0;6;4;147;1;NaN;0;1;-1.8;92.893;-46.2;1.334;5099.1;0
32;8;2;6;0;0;0;0;7;2;151;2;NaN;0;1;-0.1;93.2;-42;4.076;5195.8;0
21;8;2;3;0;0;0;0;1;3;259;1;NaN;1;0;-2.9;92.201;-31.4;0.884;5076.2;0
46;0;0;2;NaN;0;0;1;6;4;423;1;NaN;0;1;1.1;93.994;-36.4;4.856;5191;0
42;6;1;6;0;2;0;0;7;0;888;3;NaN;0;1;-0.1;93.2;-42;4.021;5195.8;0
55;7;1;2;0;0;0;0;1;4;76;13;NaN;0;1;1.4;93.444;-36.1;4.964;5228.1;0
29;0;2;3;0;2;0;1;7;1;207;1;6;1;2;-1.1;94.767;-50.8;1.05;4963.6;0
30;1;2;1;NaN;2;0;1;4;4;100;1;NaN;0;1;1.4;94.465;-41.8;4.959;5228.1;0
53;4;1;0;0;2;0;0;7;4;63;1;NaN;0;1;-0.1;93.2;-42;4.12;5195.8;0
35;4;1;6;0;2;0;0;7;4;265;2;NaN;0;1;-0.1;93.2;-42;4.12;5195.8;0
46;7;1;5;0;2;0;1;6;3;273;4;NaN;0;1;1.1;93.994;-36.4;4.856;5191;0
30;1;1;NaN;0;0;0;1;6;4;85;2;NaN;0;1;1.1;93.994;-36.4;4.857;5191;0
43;2;1;6;NaN;2;0;0;3;3;261;1;NaN;0;1;1.4;93.918;-42.7;4.961;5228.1;0
42;7;1;3;NaN;2;0;0;3;1;136;4;NaN;0;1;1.4;93.918;-42.7;4.96;5228.1;0
32;9;1;5;0;0;0;0;3;3;711;1;NaN;0;1;1.4;93.918;-42.7;4.962;5228.1;0
41;1;0;2;0;2;0;0;6;0;88;1;NaN;1;0;-1.8;92.893;-46.2;1.313;5099.1;0
28;0;1;6;0;0;0;0;6;3;72;3;NaN;1;0;-1.8;92.893;-46.2;1.291;5099.1;0
24;7;2;6;0;0;0;0;3;2;113;6;NaN;0;1;1.4;93.918;-42.7;4.963;5228.1;0
43;4;1;6;NaN;2;2;0;0;0;307;1;NaN;0;1;-1.8;93.075;-47.1;1.405;5099.1;0
30;0;2;6;0;2;0;0;1;1;39;1;NaN;0;1;1.4;93.444;-36.1;4.97;5228.1;0
55;1;1;2;NaN;0;0;0;7;3;63;2;NaN;0;1;-0.1;93.2;-42;4.153;5195.8;0
51;5;1;2;NaN;0;0;0;3;0;64;1;NaN;0;1;1.4;93.918;-42.7;4.959;5228.1;0
22;8;2;3;0;0;2;0;3;0;154;2;NaN;0;1;1.4;93.918;-42.7;4.957;5228.1;0
32;2;2;6;0;0;2;0;7;2;126;1;NaN;0;1;-0.1;93.2;-42;4.076;5195.8;0
43;0;1;5;NaN;0;0;0;3;2;127;3;NaN;0;1;1.4;93.918;-42.7;4.968;5228.1;0
39;4;1;1;NaN;0;0;1;4;1;156;5;NaN;0;1;1.4;94.465;-41.8;4.865;5228.1;0
52;1;0;NaN;0;0;0;0;3;3;111;8;NaN;0;1;1.4;93.918;-42.7;4.961;5228.1;0
38;9;2;5;0;2;0;0;6;1;202;3;NaN;1;0;-1.8;92.893;-46.2;1.244;5099.1;0
59;5;1;0;0;0;0;1;0;3;353;4;NaN;0;1;-1.8;93.075;-47.1;1.453;5099.1;0
31;1;1;0;0;2;0;1;6;4;159;2;NaN;0;1;1.1;93.994;-36.4;4.857;5191;0
76;5;2;0;0;0;0;0;7;1;347;4;6;1;2;-3.4;92.649;-30.1;0.715;5017.5;1
44;NaN;2;2;NaN;2;0;1;4;1;76;3;NaN;0;1;1.4;94.465;-41.8;4.96;5228.1;0
30;1;1;NaN;0;0;0;1;6;0;85;2;NaN;0;1;1.1;93.994;-36.4;4.864;5191;0
32;7;1;3;NaN;0;0;1;4;0;174;1;NaN;0;1;1.4;94.465;-41.8;4.959;5228.1;0
41;10;1;NaN;0;0;0;1;4;0;280;3;NaN;0;1;1.4;94.465;-41.8;4.967;5228.1;0
33;0;2;6;0;2;0;0;1;2;686;4;NaN;0;1;1.4;93.444;-36.1;4.963;5228.1;1
59;5;1;0;0;2;0;0;1;0;94;1;NaN;0;1;1.4;93.444;-36.1;4.963;5228.1;0
28;1;1;2;0;2;0;0;3;1;225;3;NaN;0;1;1.4;93.918;-42.7;4.96;5228.1;0
33;1;2;1;0;2;0;0;6;0;474;2;NaN;0;1;-1.8;92.893;-46.2;1.313;5099.1;0
53;7;1;3;NaN;2;0;0;1;2;76;1;NaN;0;1;1.4;93.444;-36.1;4.964;5228.1;0
41;7;1;3;0;0;0;0;5;4;377;6;NaN;0;1;-1.8;92.843;-50;1.778;5099.1;1
55;NaN;1;0;0;0;2;0;3;2;185;1;NaN;0;1;1.4;93.918;-42.7;4.962;5228.1;0
45;1;1;2;NaN;0;0;1;6;3;121;1;NaN;0;1;1.1;93.994;-36.4;4.856;5191;0
35;9;1;5;0;0;0;0;3;2;126;4;NaN;0;1;1.4;93.918;-42.7;4.968;5228.1;0
31;7;1;3;NaN;0;0;0;3;1;160;3;NaN;0;1;1.4;93.918;-42.7;4.96;5228.1;0
53;4;1;6;0;0;0;0;1;1;313;4;NaN;0;1;1.4;93.444;-36.1;4.965;5228.1;0
